epoch,val_acc
1,0.16586921850079744
2,0.22089314194577353
3,0.22381711855396066
4,0.21291866028708134
5,0.24960127591706538
6,0.2570441254651781
7,0.26289207868155234
8,0.28149920255183414
9,0.28203083466241363
10,0.2833599149388623
11,0.29851143009037745
12,0.2894736842105263
13,0.3096757044125465
14,0.31392876129718233
15,0.31791600212652843
16,0.33359914938862306
17,0.33413078149920256
18,0.32615629984051037
19,0.341839447102605
20,0.34821903242955876
21,0.3718766613503456
22,0.36310473152578415
23,0.37320574162679426
24,0.3702817650186071
25,0.36762360446570974
26,0.37559808612440193
27,0.3827751196172249
28,0.3849016480595428
29,0.39128123338649656
30,0.3936735778841042
31,0.41281233386496546
32,0.4125465178096757
33,0.41414141414141414
34,0.4152046783625731
35,0.40882509303561937
36,0.43168527379053695
37,0.4269005847953216
38,0.4415204678362573
39,0.4258373205741627
40,0.4415204678362573
41,0.44524189261031366
42,0.4380648591174907
43,0.44763423710792133
44,0.4548112706007443
45,0.4540138224348751
46,0.4481658692185008
47,0.46119085592769804
48,0.4649122807017544
49,0.4574694311536417
50,0.45587453482190327
51,0.47208931419457734
52,0.47341839447102607
53,0.46730462519936206
54,0.47421584263689526
55,0.47208931419457734
56,0.4835194045720361
57,0.4768740031897927
58,0.4840510366826156
59,0.48165869218500795
60,0.49069643806485913
61,0.49707602339181284
62,0.49681020733652315
63,0.5039872408293461
64,0.5108984582668793
65,0.5077086656034024
66,0.5002658160552897
67,0.5247208931419458
68,0.5239234449760766
69,0.5178096757044125
70,0.5308346624136098
71,0.507177033492823
72,0.5303030303030303
73,0.5263157894736842
74,0.5340244550770866
75,0.5236576289207868
76,0.5449229133439659
77,0.5435938330675173
78,0.5523657628920787
79,0.5406698564593302
80,0.557150451887294
81,0.5584795321637427
82,0.5414673046251993
83,0.5558213716108453
84,0.5544922913343966
85,0.5635300372142478
86,0.5661881977671451
87,0.5627325890483785
88,0.5762892078681552
89,0.5792131844763424
90,0.5733652312599681
91,0.5776182881446039
92,0.5749601275917066
93,0.5784157363104732
94,0.5877192982456141
95,0.5922381711855396
96,0.599946836788942
97,0.6012759170653907
98,0.5988835725677831
99,0.6012759170653907
100,0.5903774587985114
101,0.5959595959595959
102,0.5994152046783626
103,0.6129718234981393
104,0.6111111111111112
105,0.6084529505582137
106,0.6158958001063264
107,0.6148325358851675
108,0.6161616161616161
109,0.6220095693779905
110,0.6145667198298778
111,0.620414673046252
112,0.6105794790005317
113,0.6188197767145136
114,0.6238702817650186
115,0.6097820308346624
116,0.6331738437001595
117,0.6339712918660287
118,0.63264221158958
119,0.6310473152578415
120,0.6355661881977671
121,0.639819245082403
122,0.6283891547049442
123,0.6374269005847953
124,0.6379585326953748
125,0.6475279106858054
126,0.6371610845295056
127,0.620414673046252
128,0.638755980861244
129,0.6539074960127592
130,0.6440723019670388
131,0.6446039340776183
132,0.6597554492291334
133,0.6568314726209463
134,0.6589580010632642
135,0.6416799574694312
136,0.645933014354067
137,0.6528442317916002
138,0.6464646464646465
139,0.6536416799574695
140,0.6501860712387029
141,0.6658692185007975
142,0.6565656565656566
143,0.6469962785752259
144,0.6406166932482722
145,0.652046783625731
146,0.6594896331738437
147,0.6600212652844232
148,0.6616161616161617
149,0.6674641148325359
150,0.6695906432748538
151,0.6589580010632642
152,0.6578947368421053
153,0.6523125996810207
154,0.6640085061137693
155,0.6616161616161617
156,0.6539074960127592
157,0.6674641148325359
158,0.6624136097820308
159,0.6698564593301436
160,0.6581605528973951
161,0.654173312068049
162,0.6690590111642744
163,0.6757044125465178
164,0.6802232854864434
165,0.6767676767676768
166,0.6767676767676768
167,0.6717171717171717
168,0.684742158426369
169,0.6701222753854332
170,0.6791600212652844
171,0.6711855396065922
172,0.6671982987772461
173,0.6629452418926103
174,0.6749069643806486
175,0.6637426900584795
176,0.6783625730994152
177,0.6780967570441254
178,0.6706539074960127
179,0.670388091440723
180,0.6759702286018076
181,0.6820839978734715
182,0.6831472620946305
183,0.6751727804359383
184,0.6834130781499203
185,0.6767676767676768
186,0.6788942052099947
187,0.6786283891547049
188,0.6810207336523126
189,0.6799574694311536
190,0.6802232854864434
191,0.6759702286018076
192,0.6874003189792663
193,0.6855396065922382
194,0.6884635832004253
195,0.6812865497076024
196,0.6815523657628921
197,0.6868686868686869
198,0.6823498139287613
199,0.6868686868686869
200,0.6831472620946305
201,0.6852737905369485
202,0.6919191919191919
203,0.6895268474215842
204,0.6911217437533227
205,0.6823498139287613
206,0.6892610313662946
207,0.6868686868686869
208,0.6900584795321637
209,0.6929824561403509
210,0.6889952153110048
211,0.6876661350345561
212,0.6799574694311536
213,0.6820839978734715
214,0.6852737905369485
215,0.6852737905369485
216,0.6913875598086124
217,0.6892610313662946
218,0.6876661350345561
219,0.6820839978734715
220,0.6860712387028176
221,0.6916533758639022
222,0.6860712387028176
223,0.6892610313662946
224,0.684742158426369
225,0.6879319510898458
226,0.6945773524720893
227,0.6889952153110048
228,0.6788942052099947
229,0.6927166400850612
230,0.689792663476874
231,0.6868686868686869
232,0.6972355130249868
233,0.6863370547581074
234,0.6996278575225944
235,0.6892610313662946
236,0.6985645933014354
237,0.6919191919191919
238,0.6804891015417331
239,0.6879319510898458
240,0.696969696969697
241,0.6985645933014354
242,0.7036150983519405
243,0.6951089845826688
244,0.6975013290802764
245,0.7033492822966507
246,0.69377990430622
247,0.6866028708133971
248,0.6823498139287613
249,0.6972355130249868
250,0.6961722488038278
251,0.6905901116427432
252,0.6884635832004253
253,0.695906432748538
254,0.690855927698033
255,0.6929824561403509
256,0.6916533758639022
257,0.6943115364167995
258,0.6887293992557151
259,0.6834130781499203
260,0.695906432748538
261,0.6889952153110048
262,0.6982987772461456
263,0.696969696969697
264,0.7028176501860712
265,0.6993620414673046
266,0.7068048910154173
267,0.6874003189792663
268,0.6975013290802764
269,0.6964380648591175
270,0.6905901116427432
271,0.7102604997341839
272,0.6927166400850612
273,0.7044125465178097
274,0.703083466241361
275,0.694843168527379
