model_name,best_val_acc,best_f1,best_recall,epoch
DrseNet_Full,0.8599149388623073,0.8596620704126784,0.8601332643752833,337
DrseNet_NoSE,0.8423710792131844,0.8419999235932095,0.8416986478794498,399
DrseNet_NoRes,0.8508771929824561,0.8505737966743614,0.850564465893111,283
DrseNet_PlainCNN,0.8375863902179692,0.837550917419908,0.8373528766986138,382
DrseNet_SimplifiedStage,0.8064859117490697,0.8064471508637583,0.8064564524209196,360
